collecting all words and their counts
PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
PROGRESS: at sentence #10000, processed 172737 words, keeping 20104 word types
PROGRESS: at sentence #20000, processed 345839 words, keeping 29728 word types
PROGRESS: at sentence #30000, processed 541387 words, keeping 38021 word types
PROGRESS: at sentence #40000, processed 705012 words, keeping 43990 word types
PROGRESS: at sentence #50000, processed 867751 words, keeping 49415 word types
PROGRESS: at sentence #60000, processed 1050796 words, keeping 54831 word types
PROGRESS: at sentence #70000, processed 1229074 words, keeping 59838 word types
PROGRESS: at sentence #80000, processed 1420165 words, keeping 64817 word types
PROGRESS: at sentence #90000, processed 1587101 words, keeping 69067 word types
PROGRESS: at sentence #100000, processed 1763270 words, keeping 74191 word types
PROGRESS: at sentence #110000, processed 1937943 words, keeping 78239 word types
PROGRESS: at sentence #120000, processed 2124106 words, keeping 82124 word types
PROGRESS: at sentence #130000, processed 2297851 words, keeping 86056 word types
PROGRESS: at sentence #140000, processed 2484533 words, keeping 89718 word types
PROGRESS: at sentence #150000, processed 2658965 words, keeping 93703 word types
PROGRESS: at sentence #160000, processed 2831964 words, keeping 97469 word types
PROGRESS: at sentence #170000, processed 3004815 words, keeping 100604 word types
PROGRESS: at sentence #180000, processed 3168732 words, keeping 103713 word types
PROGRESS: at sentence #190000, processed 3346769 words, keeping 106976 word types
PROGRESS: at sentence #200000, processed 3526530 words, keeping 111264 word types
PROGRESS: at sentence #210000, processed 3702189 words, keeping 114063 word types
PROGRESS: at sentence #220000, processed 3880709 words, keeping 117502 word types
PROGRESS: at sentence #230000, processed 4049166 words, keeping 120361 word types
PROGRESS: at sentence #240000, processed 4231008 words, keeping 123607 word types
PROGRESS: at sentence #250000, processed 4398630 words, keeping 126401 word types
PROGRESS: at sentence #260000, processed 4580807 words, keeping 129287 word types
PROGRESS: at sentence #270000, processed 4748960 words, keeping 131845 word types
PROGRESS: at sentence #280000, processed 4920976 words, keeping 134434 word types
PROGRESS: at sentence #290000, processed 5088921 words, keeping 136830 word types
PROGRESS: at sentence #300000, processed 5262006 words, keeping 139507 word types
PROGRESS: at sentence #310000, processed 5444734 words, keeping 142057 word types
PROGRESS: at sentence #320000, processed 5621895 words, keeping 144662 word types
PROGRESS: at sentence #330000, processed 5790579 words, keeping 147118 word types
PROGRESS: at sentence #340000, processed 5956885 words, keeping 149682 word types
PROGRESS: at sentence #350000, processed 6149489 words, keeping 152116 word types
PROGRESS: at sentence #360000, processed 6324876 words, keeping 154284 word types
PROGRESS: at sentence #370000, processed 6494481 words, keeping 156918 word types
PROGRESS: at sentence #380000, processed 6702410 words, keeping 159536 word types
PROGRESS: at sentence #390000, processed 6876871 words, keeping 161763 word types
PROGRESS: at sentence #400000, processed 7042982 words, keeping 164189 word types
PROGRESS: at sentence #410000, processed 7228304 words, keeping 166304 word types
PROGRESS: at sentence #420000, processed 7404872 words, keeping 168632 word types
PROGRESS: at sentence #430000, processed 7586564 words, keeping 170761 word types
PROGRESS: at sentence #440000, processed 7770315 words, keeping 172904 word types
PROGRESS: at sentence #450000, processed 7929285 words, keeping 174935 word types
PROGRESS: at sentence #460000, processed 8095331 words, keeping 177085 word types
PROGRESS: at sentence #470000, processed 8269603 words, keeping 179292 word types
PROGRESS: at sentence #480000, processed 8447431 words, keeping 181624 word types
PROGRESS: at sentence #490000, processed 8623639 words, keeping 183884 word types
PROGRESS: at sentence #500000, processed 8800690 words, keeping 185676 word types
PROGRESS: at sentence #510000, processed 8984653 words, keeping 188272 word types
PROGRESS: at sentence #520000, processed 9166024 words, keeping 190307 word types
PROGRESS: at sentence #530000, processed 9334639 words, keeping 192216 word types
PROGRESS: at sentence #540000, processed 9509735 words, keeping 194194 word types
PROGRESS: at sentence #550000, processed 9696898 words, keeping 196970 word types
PROGRESS: at sentence #560000, processed 9887957 words, keeping 199018 word types
PROGRESS: at sentence #570000, processed 10078062 words, keeping 201222 word types
PROGRESS: at sentence #580000, processed 10245302 words, keeping 202959 word types
PROGRESS: at sentence #590000, processed 10409273 words, keeping 204834 word types
PROGRESS: at sentence #600000, processed 10579535 words, keeping 206739 word types
PROGRESS: at sentence #610000, processed 10757070 words, keeping 208530 word types
PROGRESS: at sentence #620000, processed 10932962 words, keeping 210411 word types
PROGRESS: at sentence #630000, processed 11098510 words, keeping 212272 word types
PROGRESS: at sentence #640000, processed 11266926 words, keeping 214154 word types
PROGRESS: at sentence #650000, processed 11434196 words, keeping 215870 word types
PROGRESS: at sentence #660000, processed 11611706 words, keeping 217622 word types
PROGRESS: at sentence #670000, processed 11793736 words, keeping 219489 word types
PROGRESS: at sentence #680000, processed 11965628 words, keeping 221385 word types
PROGRESS: at sentence #690000, processed 12170985 words, keeping 223348 word types
PROGRESS: at sentence #700000, processed 12338675 words, keeping 225158 word types
PROGRESS: at sentence #710000, processed 12560641 words, keeping 227269 word types
PROGRESS: at sentence #720000, processed 12731283 words, keeping 228966 word types
PROGRESS: at sentence #730000, processed 12905908 words, keeping 230671 word types
PROGRESS: at sentence #740000, processed 13081452 words, keeping 232401 word types
PROGRESS: at sentence #750000, processed 13247045 words, keeping 234317 word types
PROGRESS: at sentence #760000, processed 13425015 words, keeping 236098 word types
PROGRESS: at sentence #770000, processed 13594136 words, keeping 237864 word types
PROGRESS: at sentence #780000, processed 13756635 words, keeping 239574 word types
PROGRESS: at sentence #790000, processed 13934605 words, keeping 241414 word types
PROGRESS: at sentence #800000, processed 14166572 words, keeping 243687 word types
PROGRESS: at sentence #810000, processed 14349988 words, keeping 245733 word types
PROGRESS: at sentence #820000, processed 14529805 words, keeping 247566 word types
PROGRESS: at sentence #830000, processed 14707394 words, keeping 249148 word types
PROGRESS: at sentence #840000, processed 14879035 words, keeping 250932 word types
PROGRESS: at sentence #850000, processed 15056677 words, keeping 252779 word types
PROGRESS: at sentence #860000, processed 15234908 words, keeping 254484 word types
PROGRESS: at sentence #870000, processed 15419869 words, keeping 256328 word types
PROGRESS: at sentence #880000, processed 15593356 words, keeping 258038 word types
PROGRESS: at sentence #890000, processed 15760864 words, keeping 260002 word types
PROGRESS: at sentence #900000, processed 15940085 words, keeping 261702 word types
PROGRESS: at sentence #910000, processed 16103555 words, keeping 263328 word types
PROGRESS: at sentence #920000, processed 16279511 words, keeping 264963 word types
PROGRESS: at sentence #930000, processed 16453098 words, keeping 266500 word types
PROGRESS: at sentence #940000, processed 16624555 words, keeping 268002 word types
PROGRESS: at sentence #950000, processed 16803190 words, keeping 269581 word types
PROGRESS: at sentence #960000, processed 16984905 words, keeping 272139 word types
PROGRESS: at sentence #970000, processed 17159860 words, keeping 274202 word types
PROGRESS: at sentence #980000, processed 17330576 words, keeping 275849 word types
PROGRESS: at sentence #990000, processed 17512197 words, keeping 277381 word types
PROGRESS: at sentence #1000000, processed 17689017 words, keeping 279214 word types
PROGRESS: at sentence #1010000, processed 17868795 words, keeping 280850 word types
PROGRESS: at sentence #1020000, processed 18048390 words, keeping 282411 word types
PROGRESS: at sentence #1030000, processed 18224819 words, keeping 284054 word types
PROGRESS: at sentence #1040000, processed 18392025 words, keeping 285428 word types
PROGRESS: at sentence #1050000, processed 18577418 words, keeping 286981 word types
PROGRESS: at sentence #1060000, processed 18743300 words, keeping 288543 word types
PROGRESS: at sentence #1070000, processed 18922905 words, keeping 290010 word types
PROGRESS: at sentence #1080000, processed 19095717 words, keeping 291423 word types
PROGRESS: at sentence #1090000, processed 19271298 words, keeping 293091 word types
PROGRESS: at sentence #1100000, processed 19456458 words, keeping 295797 word types
PROGRESS: at sentence #1110000, processed 19628269 words, keeping 297258 word types
PROGRESS: at sentence #1120000, processed 19805570 words, keeping 298808 word types
PROGRESS: at sentence #1130000, processed 19976215 words, keeping 300554 word types
PROGRESS: at sentence #1140000, processed 20098921 words, keeping 301633 word types
PROGRESS: at sentence #1150000, processed 20273590 words, keeping 303165 word types
PROGRESS: at sentence #1160000, processed 20456261 words, keeping 304629 word types
PROGRESS: at sentence #1170000, processed 20632018 words, keeping 306121 word types
PROGRESS: at sentence #1180000, processed 20802041 words, keeping 307592 word types
PROGRESS: at sentence #1190000, processed 20976344 words, keeping 309098 word types
PROGRESS: at sentence #1200000, processed 21156021 words, keeping 310948 word types
PROGRESS: at sentence #1210000, processed 21346018 words, keeping 312531 word types
PROGRESS: at sentence #1220000, processed 21526812 words, keeping 314135 word types
PROGRESS: at sentence #1230000, processed 21701106 words, keeping 315989 word types
PROGRESS: at sentence #1240000, processed 21886251 words, keeping 317973 word types
