config,MAP,AvgRec,MRR
soft_terms-w2v.ql-mrel_mlev-early-soft-none-5-100-0.0,0.4604,0.8136,49.8038
soft_terms-w2v.ql-mrel-early-soft-none-5-10-0.0,0.4567,0.8144,48.8285
soft_terms-w2v.ql-mlev-early-soft-none-5-1000-0.0,0.4555,0.8112,48.5714
soft_terms-glove.common_crawl-mrel-early-hard-none-5-100-0.0,0.4549,0.8252,49.9378
soft_terms-w2v.ql-mlev-early-soft-none-5-100-0.6,0.4535,0.8104,48.0060
soft_terms-w2v.ql-mlev-early-soft-none-5-100-0.0,0.4534,0.8132,48.4023
soft_terms-w2v.ql-mlev-early-soft-none-5-100-0.2,0.4531,0.8125,48.4023
soft_terms-w2v.ql-mrel-early-soft-none-5-1-0.0,0.4529,0.8147,48.8555
soft_terms-w2v.ql-mlev-early-soft-none-5-100-0.4,0.4522,0.8076,47.8612
soft_terms-w2v.ql-mrel-early-soft-none-5-100-0.6,0.4520,0.8136,49.3669
soft_terms-glove.enwiki_gigaword5-mrel-early-hard-none-5-100-0.0,0.4513,0.8119,48.7432
soft_terms-w2v.ql-mrel-early-soft-none-0-100-0.0,0.4510,0.8081,48.8330
soft_terms-fasttext.enwiki-mrel-early-hard-none-5-100-0.0,0.4494,0.8137,48.0790
soft_terms-w2v.ql-mrel-early-soft-none-50-100-0.0,0.4483,0.8058,48.8411
soft_terms-w2v.ql-mlev-early-soft-none-5-10-0.0,0.4477,0.8049,48.0736
soft_terms-w2v.ql-mlev-early-soft-none-5-100-0.8,0.4465,0.8039,47.6948
soft_terms-w2v.ql-mrel-early-soft-none-5-100-0.4,0.4445,0.8062,48.2684
soft_terms-w2v.ql-mrel-early-soft-none-5-100-0.2,0.4431,0.8025,47.6966
soft_terms-w2v.ql-mrel-early-soft-none-5-100-0.0,0.4431,0.8025,47.6966
soft_terms-w2v.ql-mrel-early-soft-none-5-100-0.8,0.4428,0.8078,48.1832
soft_terms-w2v.ql-mrel-early-soft-none-5-10000-0.0,0.4425,0.8069,47.8765
soft_terms-w2v.googlenews-mrel-early-hard-none-5-100-0.0,0.4413,0.8108,47.4256
soft_terms-w2v.ql-mrel-early-soft-none-500-100-0.0,0.4386,0.8039,48.6621
soft_terms-w2v.ql-mrel-early-hard-none-5-100-0.0,0.4376,0.7980,47.7615
soft_terms-w2v.ql-mrel-early-soft-none-5-1000-0.0,0.4354,0.8040,47.3084
soft_terms-w2v.ql-mrel-early-soft-none-5000-100-0.0,0.4328,0.7853,47.2200
soft_terms-w2v.ql-mlev-early-soft-none-5-1-0.0,0.4327,0.7931,47.1347
hard_terms,0.4325,0.7925,47.1347
soft_terms-w2v.ql-mrel-early-none-none-5-100-0.0,0.4217,0.7845,46.4574
